booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,payment_id,amount,payment_method,airline,source,destination,departure_time,arrival_time,duration_minutes,route,first_name,last_name,age,gender,email,phone,aadhaar_id,date_of_birth
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,59e7e7738c8711b2f49be2c355b25b9bd41b780392aa2151796e8b52aaa0a056,3D,Isaac Bakshi,****5128,,,,Air India,MAA,BOM,2026-04-20 23:05:41.703,2026-04-21 04:04:41.703,299.0,MAA -> BOM,Krishna,Mehta,4,M,k****a@rediffmail.com,****1235,2184a6a7e6e6711e78078654ca64ec1150ad068d87c1c7c81715bfafe089ae54,2022-05-23
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,6a95f336b866dc4d580b61301c1a96016a5ec24e056b4062fcb7eb48c0e14578,18A,Anvi Konda,****8662,,,,IndiGo,BOM,CCU,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,BOM -> CCU,Krishna,Singh,82,F,k****h@outlook.com,****0563,e8e48b9bdf2fe29c68a97ab5763e70a557ce6eec94e1ce443f8fd793c66d95d9,1944-01-03
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,8d413701d70b517478f82789245fa033726307ec10b14c2c18fc6f6deb940931,30C,Udant Dewan,****8220,PAY1305,6087.22,UPI,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,CCU -> MAA,Arjun,Banerjee,62,F,a****e@outlook.com,****0285,142fa59a1062db224fdbce4eeea34443869bdde50a5a4b3ed40a725b754eee76,1964-02-24
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,8d413701d70b517478f82789245fa033726307ec10b14c2c18fc6f6deb940931,30C,Udant Dewan,****8220,PAY1912,2505.86,NETBANKING,SpiceJet,CCU,MAA,2026-04-20 23:38:41.701,2026-04-21 02:32:41.701,174.0,CCU -> MAA,Arjun,Banerjee,62,F,a****e@outlook.com,****0285,142fa59a1062db224fdbce4eeea34443869bdde50a5a4b3ed40a725b754eee76,1964-02-24
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,19c4a665e8bc1266b54aee9a9925f0d4179044fbc7be190242d1b89272a91bff,33A,Harsh Chahal,****6839,,,,Air India,DEL,BOM,2026-04-20 22:43:41.702,2026-04-21 02:29:41.702,226.0,DEL -> BOM,Aarav,Ghosh,59,M,a****1@hotmail.com,****5314,ee001844bc1daec8c6c2d5fc899f1d60e53621603283516b962845dcbe602009,1966-12-21
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,d9157c803314e083e13c0307a6e506c2beaa8c6e96140c318f3a5626acdbf658,25C,Pahal Balay,****8266,PAY1738,12222.48,UPI,Vistara,HYD,DEL,2026-04-20 21:41:41.700,2026-04-21 02:19:41.700,278.0,HYD -> DEL,Ira,Chatterjee,33,F,i****e@yahoo.com,****4107,7393ab5296812081040ff980c92277a461c20ed96817ef6e1231eb921d622143,1993-03-28
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,caabc2281b0da4c39b0a3b311e88f27b268a54a206f841d415910424688d7c97,13D,Ayushman Chander,****2726,PAY1122,13378.9,UPI,Air India,CCU,DEL,2026-04-20 22:23:41.701,2026-04-21 02:15:41.701,232.0,CCU -> DEL,Saanvi,Nair,51,F,s****r@hotmail.com,****3439,b4c7fa23e5468366c27ab2ed6a29a715f5e80c5d75c9af00611e3aa7ebc7de5a,1974-11-20
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,819d0525b412722fb313faf87f81a43b74df29a993116bd79095a97e202b44a5,17F,Tejas Kaul,****7864,PAY1206,14980.37,NETBANKING,Air India,BOM,DEL,2026-04-20 22:25:41.702,2026-04-21 02:08:41.702,223.0,BOM -> DEL,Riya,Das,58,M,r****s@hotmail.com,****8998,1508390bb12817ed7d0013e76fd719f349676f3b34b9f7161d1e2b77835342e0,1968-03-25
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,481f342177d3cec469338517a9902c34973ae3e01e73170d054a2a22e8fed7a7,22E,Yashasvi Bala,****5776,,,,Vistara,DEL,MAA,2026-04-20 22:45:41.703,2026-04-21 01:46:41.703,181.0,DEL -> MAA,Ishaan,Kulkarni,87,M,i****2@outlook.com,****0167,b4739e96ef51ce91aaf40415066d2d166685b9c40f52b9125ece35ddc2b40d6e,1939-08-21
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,8c98a8c9d9ef366ea590a63c5fda7f9b38e3d7fd7cc2e1a664b318ac10d81116,34F,Rushil Saini,****8807,,,,Air India,BOM,CCU,2026-04-20 23:07:41.704,2026-04-21 01:43:41.704,156.0,BOM -> CCU,Kavya,Verma,40,F,k****a@hotmail.com,****0516,21eee320d5f576d3b9d0ae4587770c8e5079db734ae28ccdd4c586ad8518c662,1986-04-23
