booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,_ingested_at,_source_file,_is_valid,_ingestion_errors
B1049,P1072,SJ153,2025-07-28 11:37:36.951,INVALID,W9848416,3C,Nathaniel Sami,+91-9199823067,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1102,P1448,SJ196,2025-10-06 11:37:36.951,INVALID,N2554026,15F,Arya Shere,+91-8464997824,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1162,P1027,AI146,2025-04-22 11:37:36.951,INVALID,N1917798,32D,Janya Baral,+91-7769629690,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1198,P1913,SJ022,2025-06-16 11:37:36.951,INVALID,J9791279,29A,Yashica More,+91-7713152983,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1208,P1284,SJ052,2025-07-22 11:37:36.951,INVALID,E1321767,9A,Riya Sathe,+91-6750512858,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1268,P1657,AI102,2026-01-16 11:37:36.951,INVALID,Y9424894,12A,Ladli Mall,+91-8504087177,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1283,P1860,AI103,2025-05-08 11:37:36.951,INVALID,R4897917,29D,Hritik Bal,+91-7360807808,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1286,P1753,6F010,2025-09-25 11:37:36.951,INVALID,L3069358,33B,Faqid Kibe,+91-8770153362,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1304,P1254,6F022,2025-12-13 11:37:36.951,INVALID,H4078516,18E,Ucchal Raghavan,+91-9145051700,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1337,P1028,6F246,2025-10-20 11:37:36.951,INVALID,B7173279,4C,Chakradev Bhagat,+91-8791396646,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1388,P1885,6F038,2025-09-23 11:37:36.951,INVALID,F6874470,8D,Upma Pall,+91-7790218221,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1395,P1125,UK023,2026-02-10 11:37:36.951,INVALID,N2092973,23B,Gaurang Murty,+91-8760748777,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1404,P1715,6F253,2026-03-07 11:37:36.951,INVALID,Y5350637,16A,Amara Deep,+91-6670771783,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1441,P1895,SJ131,2025-09-22 11:37:36.951,INVALID,Z1774174,13A,Mohammed Borde,+91-8323165768,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1499,P1687,AI033,2025-06-17 11:37:36.952,INVALID,W9008248,17C,Jatin Sha,+91-6926966364,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1517,P1784,6F221,2026-01-16 11:37:36.952,INVALID,K9147744,31B,Ati Bali,+91-8785722215,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1518,P1758,SJ147,2026-03-20 11:37:36.952,INVALID,G5247841,30A,Kamala Kalla,+91-8723394061,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1530,P1098,UK095,2025-12-08 11:37:36.952,INVALID,M7285759,23E,Sarthak Kalita,+91-7656534054,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1551,P1920,6F104,2025-11-14 11:37:36.952,INVALID,P2814447,8E,Varenya Ratti,+91-7735631188,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1607,P1827,AI101,2026-02-02 11:37:36.952,INVALID,T6822512,30F,Qushi Choudhry,+91-7523313146,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1617,P1754,AI070,2025-05-10 11:37:36.952,INVALID,D0212543,18A,Qushi Gill,+91-7365358704,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1635,P1436,AI136,2025-08-14 11:37:36.952,INVALID,P9105302,7C,Timothy Nath,+91-6504861859,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1743,P1386,6F137,2025-11-21 11:37:36.952,INVALID,K0553648,6F,Wridesh Saha,+91-9948012137,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1769,P1765,SJ111,2025-11-23 11:37:36.952,INVALID,C8580558,6F,Jeet Pillai,+91-6444629187,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1802,P1527,AI111,2025-06-30 11:37:36.952,INVALID,K6936561,16B,Atharv Grewal,+91-8866096611,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1813,P1152,AI104,2025-04-21 11:37:36.952,INVALID,N4332262,9D,Dhruv Mannan,+91-9601909254,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1849,P1545,SJ129,2025-06-24 11:37:36.952,INVALID,V3173066,12E,Widisha Mann,+91-7805666604,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1886,P1664,6F130,2026-02-12 11:37:36.952,INVALID,M1746564,9D,Chakradev Rattan,+91-6218158489,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1917,P1983,UK180,2025-08-03 11:37:36.952,INVALID,X7939981,27A,Imaran Halder,+91-8341166057,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
B1999,P1412,UK124,2025-08-08 11:37:36.952,INVALID,C2914650,12B,Tejas Kota,+91-7414292188,2026-09-05T16:43:03.988015+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_STATUS
