booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,_ingested_at,_source_file
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,59e7e7738c8711b2f49be2c355b25b9bd41b780392aa2151796e8b52aaa0a056,3D,Isaac Bakshi,****5128,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,6a95f336b866dc4d580b61301c1a96016a5ec24e056b4062fcb7eb48c0e14578,18A,Anvi Konda,****8662,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,8d413701d70b517478f82789245fa033726307ec10b14c2c18fc6f6deb940931,30C,Udant Dewan,****8220,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,19c4a665e8bc1266b54aee9a9925f0d4179044fbc7be190242d1b89272a91bff,33A,Harsh Chahal,****6839,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,d9157c803314e083e13c0307a6e506c2beaa8c6e96140c318f3a5626acdbf658,25C,Pahal Balay,****8266,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,caabc2281b0da4c39b0a3b311e88f27b268a54a206f841d415910424688d7c97,13D,Ayushman Chander,****2726,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,819d0525b412722fb313faf87f81a43b74df29a993116bd79095a97e202b44a5,17F,Tejas Kaul,****7864,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,481f342177d3cec469338517a9902c34973ae3e01e73170d054a2a22e8fed7a7,22E,Yashasvi Bala,****5776,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,8c98a8c9d9ef366ea590a63c5fda7f9b38e3d7fd7cc2e1a664b318ac10d81116,34F,Rushil Saini,****8807,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,16d60fe92f5a58498240b07d1f06756c4004ccb8ac1a35e2805525d1a10f4bd5,33C,Thomas Sen,****6278,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,9b8bc958eb99de8fb7b16058960d026a06b3e7d596f3a18533a6dc3e4ff6331d,15B,Arunima Ahuja,****9414,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,2c38e171d27dcd125c6913f4d1c146a8da98219f63f72633e64e7bc3f19ef100,22C,Nathaniel Sami,****6153,2026-09-05T15:59:28.766079,UseCase - Airlines.xlsx
